adm2_code,adm2_name,entidad,facilities
MX01001,Aguascalientes,Aguascalientes,179
MX01002,Asientos,Aguascalientes,15
MX01003,Calvillo,Aguascalientes,20
MX01004,Cosío,Aguascalientes,4
MX01005,Jesús María,Aguascalientes,16
MX01006,Pabellón de Arteaga,Aguascalientes,9
MX01007,Rincón de Romos,Aguascalientes,16
MX01008,San José de Gracia,Aguascalientes,7
MX01009,Tepezalá,Aguascalientes,7
MX01010,El Llano,Aguascalientes,5
MX01011,San Francisco de los Romo,Aguascalientes,6
MX02001,Ensenada,Baja California,152
MX02002,Mexicali,Baja California,219
MX02003,Tecate,Baja California,22
MX02004,Tijuana,Baja California,369
MX02005,Playas de Rosarito,Baja California,33
MX03001,Comondú,Baja California Sur,37
MX03002,Mulegé,Baja California Sur,34
MX03003,La Paz,Baja California Sur,92
MX03008,Los Cabos,Baja California Sur,89
MX03009,Loreto,Baja California Sur,6
MX04001,Calkiní,Campeche,14
MX04002,Campeche,Campeche,74
MX04003,Carmen,Campeche,63
MX04004,Champotón,Campeche,28
MX04005,Hecelchakán,Campeche,5
MX04006,Hopelchén,Campeche,10
MX04007,Palizada,Campeche,7
MX04008,Tenabo,Campeche,3
MX04009,Escárcega,Campeche,16
MX04010,Calakmul,Campeche,7
MX04011,Candelaria,Campeche,20
MX05001,Abasolo,Coahuila de Zaragoza,2
MX05002,Acuña,Coahuila de Zaragoza,28
MX05003,Allende,Coahuila de Zaragoza,6
MX05004,Arteaga,Coahuila de Zaragoza,9
MX05005,Candela,Coahuila de Zaragoza,1
MX05006,Castaños,Coahuila de Zaragoza,4
MX05007,Cuatro Ciénegas,Coahuila de Zaragoza,7
MX05008,Escobedo,Coahuila de Zaragoza,2
MX05009,Francisco I. Madero,Coahuila de Zaragoza,12
MX05010,Frontera,Coahuila de Zaragoza,9
MX05011,General Cepeda,Coahuila de Zaragoza,5
MX05012,Guerrero,Coahuila de Zaragoza,1
MX05013,Hidalgo,Coahuila de Zaragoza,1
MX05014,Jiménez,Coahuila de Zaragoza,3
MX05015,Juárez,Coahuila de Zaragoza,1
MX05016,Lamadrid,Coahuila de Zaragoza,1
MX05017,Matamoros,Coahuila de Zaragoza,14
MX05018,Monclova,Coahuila de Zaragoza,51
MX05019,Morelos,Coahuila de Zaragoza,2
MX05020,Múzquiz,Coahuila de Zaragoza,14
MX05021,Nadadores,Coahuila de Zaragoza,2
MX05022,Nava,Coahuila de Zaragoza,2
MX05023,Ocampo,Coahuila de Zaragoza,9
MX05024,Parras,Coahuila de Zaragoza,11
MX05025,Piedras Negras,Coahuila de Zaragoza,39
MX05026,Progreso,Coahuila de Zaragoza,3
MX05027,Ramos Arizpe,Coahuila de Zaragoza,19
MX05028,Sabinas,Coahuila de Zaragoza,12
MX05029,Sacramento,Coahuila de Zaragoza,1
MX05030,Saltillo,Coahuila de Zaragoza,139
MX05031,San Buenaventura,Coahuila de Zaragoza,5
MX05032,San Juan de Sabinas,Coahuila de Zaragoza,13
MX05033,San Pedro,Coahuila de Zaragoza,21
MX05034,Sierra Mojada,Coahuila de Zaragoza,4
MX05035,Torreón,Coahuila de Zaragoza,126
MX05036,Viesca,Coahuila de Zaragoza,4
MX05037,Villa Unión,Coahuila de Zaragoza,3
MX05038,Zaragoza,Coahuila de Zaragoza,4
MX06001,Armería,Colima,12
MX06002,Colima,Colima,50
MX06003,Comala,Colima,9
MX06004,Coquimatlán,Colima,9
MX06005,Cuauhtémoc,Colima,13
MX06006,Ixtlahuacán,Colima,6
MX06007,Manzanillo,Colima,61
MX06008,Minatitlán,Colima,8
MX06009,Tecomán,Colima,39
MX06010,Villa de Álvarez,Colima,20
MX07001,Acacoyagua,Chiapas,4
MX07002,Acala,Chiapas,9
MX07003,Acapetahua,Chiapas,12
MX07004,Altamirano,Chiapas,9
MX07005,Amatán,Chiapas,11
MX07006,Amatenango de la Frontera,Chiapas,11
MX07007,Amatenango del Valle,Chiapas,1
MX07008,Angel Albino Corzo,Chiapas,8
MX07009,Arriaga,Chiapas,17
MX07010,Bejucal de Ocampo,Chiapas,2
MX07011,Bella Vista,Chiapas,6
MX07012,Berriozábal,Chiapas,13
MX07013,Bochil,Chiapas,7
MX07014,El Bosque,Chiapas,5
MX07015,Cacahoatán,Chiapas,7
MX07016,Catazajá,Chiapas,5
MX07017,Cintalapa,Chiapas,23
MX07018,Coapilla,Chiapas,5
MX07019,Comitán de Domínguez,Chiapas,44
MX07020,La Concordia,Chiapas,18
MX07021,Copainalá,Chiapas,9
MX07022,Chalchihuitán,Chiapas,5
MX07023,Chamula,Chiapas,21
MX07024,Chanal,Chiapas,3
MX07025,Chapultenango,Chiapas,3
MX07026,Chenalhó,Chiapas,16
MX07027,Chiapa de Corzo,Chiapas,18
MX07028,Chiapilla,Chiapas,2
MX07029,Chicoasén,Chiapas,2
MX07030,Chicomuselo,Chiapas,8
MX07031,Chilón,Chiapas,59
MX07032,Escuintla,Chiapas,10
MX07033,Francisco León,Chiapas,5
MX07034,Frontera Comalapa,Chiapas,20
MX07035,Frontera Hidalgo,Chiapas,3
MX07036,La Grandeza,Chiapas,1
MX07037,Huehuetán,Chiapas,6
MX07038,Huixtán,Chiapas,9
MX07039,Huitiupán,Chiapas,9
MX07040,Huixtla,Chiapas,19
MX07041,La Independencia,Chiapas,7
MX07042,Ixhuatán,Chiapas,4
MX07043,Ixtacomitán,Chiapas,7
MX07044,Ixtapa,Chiapas,5
MX07045,Ixtapangajoya,Chiapas,3
MX07046,Jiquipilas,Chiapas,14
MX07047,Jitotol,Chiapas,3
MX07048,Juárez,Chiapas,7
MX07049,Larráinzar,Chiapas,9
MX07050,La Libertad,Chiapas,3
MX07051,Mapastepec,Chiapas,13
MX07052,Las Margaritas,Chiapas,40
MX07053,Mazapa de Madero,Chiapas,3
MX07054,Mazatán,Chiapas,9
MX07055,Metapa,Chiapas,1
MX07056,Mitontic,Chiapas,2
MX07057,Motozintla,Chiapas,20
MX07058,Nicolás Ruíz,Chiapas,1
MX07059,Ocosingo,Chiapas,67
MX07060,Ocotepec,Chiapas,4
MX07061,Ocozocoautla de Espinosa,Chiapas,21
MX07062,Ostuacán,Chiapas,12
MX07063,Osumacinta,Chiapas,2
MX07064,Oxchuc,Chiapas,15
MX07065,Palenque,Chiapas,44
MX07066,Pantelhó,Chiapas,3
MX07067,Pantepec,Chiapas,5
MX07068,Pichucalco,Chiapas,12
MX07069,Pijijiapan,Chiapas,36
MX07070,El Porvenir,Chiapas,2
MX07071,Villa Comaltitlán,Chiapas,8
