adm2_code,entidad,municipio,poverty_rate
MX01001,Aguascalientes,Aguascalientes,23.6822578574
MX01002,Aguascalientes,Asientos,40.1318811907
MX01003,Aguascalientes,Calvillo,45.7559438264
MX01004,Aguascalientes,Cosío,37.0391820837
MX01005,Aguascalientes,Jesús María,26.3418356434
MX01006,Aguascalientes,Pabellón de Arteaga,28.9180201409
MX01007,Aguascalientes,Rincón de Romos,40.5114187954
MX01008,Aguascalientes,San José de Gracia,45.7709224917
MX01009,Aguascalientes,Tepezalá,37.6474724377
MX01010,Aguascalientes,El Llano,40.6121053517
MX01011,Aguascalientes,San Francisco de los Romo,37.790440594
MX02001,Baja California,Ensenada,22.2984391711
MX02002,Baja California,Mexicali,20.2190064344
MX02003,Baja California,Tecate,21.1066942695
MX02004,Baja California,Tijuana,23.7023626651
MX02005,Baja California,Playas de Rosarito,31.2325758822
MX02006,Baja California,San Quintín,34.903741775
MX03001,Baja California Sur,Comondú,34.9496860023
MX03002,Baja California Sur,Mulegé,24.1103271926
MX03003,Baja California Sur,La Paz,20.607253513
MX03008,Baja California Sur,Los Cabos,31.6999775122
MX03009,Baja California Sur,Loreto,34.0799644666
MX04001,Campeche,Calkiní,62.8421447355
MX04002,Campeche,Campeche,32.5294328189
MX04003,Campeche,Carmen,35.3647126577
MX04004,Campeche,Champotón,57.1733300345
MX04005,Campeche,Hecelchakán,66.6811269282
MX04006,Campeche,Hopelchén,74.8523988736
MX04007,Campeche,Palizada,59.8646888567
MX04008,Campeche,Tenabo,53.8631206752
MX04009,Campeche,Escárcega,68.0555381837
MX04010,Campeche,Calakmul,82.9704274116
MX04011,Campeche,Candelaria,80.4492018864
MX04012,Campeche,Seybaplaya,
MX05001,Coahuila de Zaragoza,Abasolo,10.9748237664
MX05002,Coahuila de Zaragoza,Acuña,23.4458965591
MX05003,Coahuila de Zaragoza,Allende,24.7955442465
MX05004,Coahuila de Zaragoza,Arteaga,29.014528978
MX05005,Coahuila de Zaragoza,Candela,33.3905362776
MX05006,Coahuila de Zaragoza,Castaños,33.7488537763
MX05007,Coahuila de Zaragoza,Cuatro Ciénegas,33.0032203328
MX05008,Coahuila de Zaragoza,Escobedo,29.066822586
MX05009,Coahuila de Zaragoza,Francisco I. Madero,31.7725680629
MX05010,Coahuila de Zaragoza,Frontera,22.2502270681
MX05011,Coahuila de Zaragoza,General Cepeda,37.0647340851
MX05012,Coahuila de Zaragoza,Guerrero,23.8311111111
MX05013,Coahuila de Zaragoza,Hidalgo,24.1453879047
MX05014,Coahuila de Zaragoza,Jiménez,24.0701209364
MX05015,Coahuila de Zaragoza,Juárez,29.3786597267
MX05016,Coahuila de Zaragoza,Lamadrid,16.4573459716
MX05017,Coahuila de Zaragoza,Matamoros,27.9075386099
MX05018,Coahuila de Zaragoza,Monclova,22.8084836993
MX05019,Coahuila de Zaragoza,Morelos,22.943359375
MX05020,Coahuila de Zaragoza,Múzquiz,28.9692516982
MX05021,Coahuila de Zaragoza,Nadadores,16.7889139542
MX05022,Coahuila de Zaragoza,Nava,24.4078747257
MX05023,Coahuila de Zaragoza,Ocampo,34.1523488473
MX05024,Coahuila de Zaragoza,Parras,30.0035533358
MX05025,Coahuila de Zaragoza,Piedras Negras,22.5540890111
MX05026,Coahuila de Zaragoza,Progreso,27.7326953748
