adm1_name,adm2_name,adm2_code,pop_total,pop_wra
Aguascalientes,Aguascalientes,MX01001,995228,248807
Aguascalientes,Asientos,MX01002,54708,13677
Aguascalientes,Calvillo,MX01003,60922,15230
Aguascalientes,Cosío,MX01004,18113,4528
Aguascalientes,El Llano,MX01010,22066,5516
Aguascalientes,Jesús María,MX01005,138498,34624
Aguascalientes,Pabellón de Arteaga,MX01006,50930,12732
Aguascalientes,Rincón de Romos,MX01007,60713,15178
Aguascalientes,San Francisco de los Romo,MX01011,66686,16671
Aguascalientes,San José de Gracia,MX01008,10106,2527
Aguascalientes,Tepezalá,MX01009,23953,5988
Baja California,Ensenada,MX02001,587107,146777
Baja California,Mexicali,MX02002,1087622,271906
Baja California,Playas de Rosarito,MX02005,132452,33113
Baja California,Tecate,MX02003,110500,27625
Baja California,Tijuana,MX02004,2010930,502732
Baja California Sur,Comondú,MX03001,76043,19011
Baja California Sur,La Paz,MX03003,303717,75929
Baja California Sur,Loreto,MX03009,18818,4704
Baja California Sur,Los Cabos,MX03008,366828,91707
Baja California Sur,Mulegé,MX03002,66886,16721
Campeche,Calakmul,MX04010,33497,8374
Campeche,Calkiní,MX04001,61919,15480
Campeche,Campeche,MX04002,306306,76576
Campeche,Candelaria,MX04011,49215,12304
Campeche,Carmen,MX04003,256911,64228
Campeche,Champotón,MX04004,97838,24459
Campeche,Escárcega,MX04009,63058,15764
Campeche,Hecelchakán,MX04005,33446,8361
Campeche,Hopelchén,MX04006,44233,11058
Campeche,Palizada,MX04007,9177,2294
Campeche,Tenabo,MX04008,12002,3000
Chiapas,Acacoyagua,MX07001,19312,4828
Chiapas,Acala,MX07002,33408,8352
Chiapas,Acapetahua,MX07003,28570,7142
Chiapas,Aldama,MX07113,9245,2311
Chiapas,Altamirano,MX07004,37468,9367
Chiapas,Amatenango de la Frontera,MX07006,33388,8347
Chiapas,Amatenango del Valle,MX07007,12117,3029
Chiapas,Amatán,MX07005,26165,6541
Chiapas,Angel Albino Corzo,MX07008,34023,8506
Chiapas,Arriaga,MX07009,42849,10712
Chiapas,Bejucal de Ocampo,MX07010,8054,2013
Chiapas,Bella Vista,MX07011,21371,5343
Chiapas,Benemérito de las Américas,MX07114,24972,6243
Chiapas,Berriozábal,MX07012,68963,17241
Chiapas,Bochil,MX07013,37021,9255
Chiapas,Cacahoatán,MX07015,53051,13263
Chiapas,Catazajá,MX07016,18744,4686
Chiapas,Chalchihuitán,MX07022,23704,5926
Chiapas,Chamula,MX07023,109967,27492
Chiapas,Chanal,MX07024,14650,3662
Chiapas,Chapultenango,MX07025,8062,2016
Chiapas,Chenalhó,MX07026,51359,12840
Chiapas,Chiapa de Corzo,MX07027,119085,29771
Chiapas,Chiapilla,MX07028,6484,1621
Chiapas,Chicoasén,MX07029,5715,1429
Chiapas,Chicomuselo,MX07030,38860,9715
Chiapas,Chilón,MX07031,147031,36758
Chiapas,Cintalapa,MX07017,92418,23105
Chiapas,Coapilla,MX07018,10543,2636
Chiapas,Comitán de Domínguez,MX07019,174671,43668
Chiapas,Copainalá,MX07021,23373,5843
Chiapas,El Bosque,MX07014,25960,6490
Chiapas,El Porvenir,MX07070,13127,3282
Chiapas,Escuintla,MX07032,32883,8221
Chiapas,Francisco León,MX07033,7706,1926
Chiapas,Frontera Comalapa,MX07034,84953,21238
Chiapas,Frontera Hidalgo,MX07035,15486,3871
Chiapas,Huehuetán,MX07037,38468,9617
Chiapas,Huitiupán,MX07039,29743,7436
Chiapas,Huixtla,MX07040,56785,14196
Chiapas,Huixtán,MX07038,24843,6211
Chiapas,Ixhuatán,MX07042,12223,3056
Chiapas,Ixtacomitán,MX07043,11641,2910
Chiapas,Ixtapa,MX07044,30890,7723
Chiapas,Ixtapangajoya,MX07045,6867,1717
Chiapas,Jiquipilas,MX07046,42956,10739
Chiapas,Jitotol,MX07047,25545,6386
Chiapas,Juárez,MX07048,23280,5820
Chiapas,La Concordia,MX07020,52713,13178
Chiapas,La Grandeza,MX07036,8237,2059
Chiapas,La Independencia,MX07041,49653,12413
Chiapas,La Libertad,MX07050,5583,1396
Chiapas,La Trinitaria,MX07099,87535,21884
Chiapas,Larráinzar,MX07049,33832,8458
Chiapas,Las Margaritas,MX07052,146831,36708
Chiapas,Las Rosas,MX07075,30606,7651
Chiapas,Mapastepec,MX07051,48519,12130
Chiapas,Maravilla Tenejapa,MX07115,15575,3894
Chiapas,Marqués de Comillas,MX07116,13730,3433
Chiapas,Mazapa de Madero,MX07053,8405,2101
Chiapas,Mazatán,MX07054,29672,7418
Chiapas,Metapa,MX07055,6258,1565
Chiapas,Mitontic,MX07056,15539,3885
Chiapas,Montecristo de Guerrero,MX07117,8951,2238
Chiapas,Motozintla,MX07057,80807,20202
Chiapas,Nicolás Ruíz,MX07058,5067,1267
Chiapas,Ocosingo,MX07059,247536,61884
Chiapas,Ocotepec,MX07060,14956,3739
Chiapas,Ocozocoautla de Espinosa,MX07061,103229,25807
Chiapas,Ostuacán,MX07062,19564,4891
Chiapas,Osumacinta,MX07063,4351,1088
Chiapas,Oxchuc,MX07064,59125,14781
Chiapas,Palenque,MX07065,139874,34968
Chiapas,Pantelhó,MX07066,28752,7188
Chiapas,Pantepec,MX07067,13075,3269
Chiapas,Pichucalco,MX07068,33811,8453
Chiapas,Pijijiapan,MX07069,53506,13377
Chiapas,Pueblo Nuevo Solistahuacán,MX07072,40954,10238
Chiapas,Rayón,MX07073,11778,2945
Chiapas,Reforma,MX07074,48004,12001
Chiapas,Sabanilla,MX07076,31848,7962
Chiapas,Salto de Agua,MX07077,68003,17001
Chiapas,San Andrés Duraznal,MX07118,6558,1639
