event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,iso,region,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,adm2_code,adm2_name,data_as_of,run_date
MEX94135,2024-10-18,2024,Political violence,Violence against civilians,Abduction/forced disappearance,484,North America,Mexico,Baja California,Tijuana,Tijuana,32.5325,-117.019,AFN - Tijuana,"Around 18 October 2024 (as reported), in Tijuana, Baja California, four men abducted an American man. National Guard and army officers arrested the perpetrators including a person of American origin, in a house in Colonia Obrera, where they also seized three fireweapons and drugs. It is not known whether the victim was located and released.",0,MX02004,Tijuana,2024-12-15,2025-12-15
MEX94139,2024-10-16,2024,Political violence,Violence against civilians,Abduction/forced disappearance,484,North America,Mexico,Tamaulipas,Reynosa,Reynosa,26.0924,-98.2781,Hoy Tamaulipas,"On 16 October 2024, in Reynosa, Tamaulipas, at least three armed men kidnapped a man. In response, police located the vehicle and arrested the three men.",0,MX28032,Reynosa,2024-12-15,2025-12-15
MEX94143,2024-10-17,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Sinaloa,Culiacan,El Guasimal,24.9188,-107.292,Riodoce,"Around 17 October 2024 (as reported), in El Guasimal, Sinaloa, army and National Guard officers clashed with armed individuals. Six armed individuals died. Authorities seized 22 fireweapons, two grenades, and 12 vehicles. This event is likely part of the war between 'Los Chapitos' and 'Los Mayitos' factions of the Sinaloa Cartel. 6 fatalities.",6,MX25006,Culiacán,2024-12-15,2025-12-15
MEX94149,2024-10-16,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Sonora,Benito Juarez,Villa Juarez,27.1283,-109.837,Entorno Informativo,"On 16 October 2024, in Villa Juarez, Sonora, a man threatened passersby with a machete and attempted to attack municipal police officers who arrived at the place. The officers shot and killed him. 1 fatality.",1,MX26071,Benito Juárez,2024-12-15,2025-12-15
MEX94151,2024-10-18,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Nayarit,Huajicori,Huajicori,22.6396,-105.3315,Riodoce,"Around 18 October 2024 (as reported), in the village of San Juan (coded to Huajicori), Nayarit, National Guard, army and state police officers clashed with armed individuals that shot at the officers when they approached the scene. The officers seized a fireweapon and six explosive devices. Casualties unknown.",0,MX18005,Huajicori,2024-12-15,2025-12-15
MEX94152,2024-10-17,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Zacatecas,Zacatecas,Zacatecas,22.7761,-102.5718,El Norte; El Universal (Mexico),"On 17 October 2024, in Zacatecas, Zacatecas, state police, army and National Guard officers clashed with three members of the Cartel del Noreste (CDN) in Colonia Las Americas. The three individuals were arrested. One of them suspectedly is the cartel's local leader. The officers seized three fireweapons and four explosive devices. There were no casualties.",0,MX32056,Zacatecas,2024-12-15,2025-12-15
MEX94166,2024-10-16,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Baja California,Tecate,Tecate,32.5727,-116.6266,Zeta Tijuana,"On 16 October 2024, in Tecate, Baja California, armed individuals on vehicles clashed along Defensores boulevard and until the road exiting towards Mexicali. Five people were injured by gunfire, although it is unknown whether they were involved in the clash. Two army officers resulted injured when their vehicle crashed while being mobilized to respond to the clash. The shooting caused damages in houses and establishments.",0,MX02003,Tecate,2024-12-15,2025-12-15
MEX94167,2024-10-18,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Ciudad de Mexico,Gustavo A. Madero,Ciudad de Mexico - Gustavo A. Madero,19.4829,-99.1135,24 Horas (Mexico),"Around 18 October 2024 (as reported), in Ciudad de Mexico - Gustavo A. Madero, armed individuals on motorbikes clashed on 309 and 310 streets, in Colonia Nueva Atzacoalco, and fled when police officers approached the place. Two armed individuals, one of them injured, were later arrested when they arrived at a hospital. Another man was collaterally injured by a stray bullet.",0,MX09005,Gustavo A. Madero,2024-12-15,2025-12-15
MEX94168,2024-10-17,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Sinaloa,Concordia,Concordia,23.2876,-106.0686,Riodoce,"On 17 October 2024, around Concordia, Sinaloa, armed groups clashed. Casualties unknown.",0,MX25004,Concordia,2024-12-15,2025-12-15
MEX94169,2024-10-18,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Sinaloa,Concordia,Concordia,23.2876,-106.0686,Riodoce,"On 18 October 2024, around Concordia, Sinaloa, armed groups clashed. Casualties unknown.",0,MX25004,Concordia,2024-12-15,2025-12-15
MEX94179,2024-10-17,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Sinaloa,Culiacan,Colonia Emancipacion (El Coronel),24.2702,-107.2051,Riodoce,"On 17 October 2024, in Colonia Emancipacion (El Coronel), Sinaloa, armed groups clashed. This event is likely part of the war between 'Los Chapitos' and 'Los Mayitos' factions of the Sinaloa Cartel. Casualties unknown.",0,MX25006,Culiacán,2024-12-15,2025-12-15
MEX94181,2024-10-17,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Sinaloa,Culiacan,Guadalupe Victoria (El Atoron),24.2986,-107.2704,24 Horas (Mexico),"On 17 October 2024, in Guadalupe Victoria (El Atoron), Sinaloa, armed groups clashed. This event is likely part of the war between 'Los Chapitos' and 'Los Mayitos' factions of the Sinaloa Cartel. Casualties unknown.",0,MX25006,Culiacán,2024-12-15,2025-12-15
MEX94183,2024-10-18,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Sinaloa,El Fuerte,Santa Lucia,26.2826,-108.7695,Riodoce,"On 18 October 2024, in Santa Lucia, Sinaloa, armed groups clashed. This event is likely part of the war between 'Los Chapitos' and 'Los Mayitos' factions of the Sinaloa Cartel. Casualties unknown.",0,MX25010,El Fuerte,2024-12-15,2025-12-15
MEX94184,2024-10-18,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Guerrero,Cuajinicuilapa,Cuajinicuilapa,16.472,-98.4167,El Sol de Acapulco,"On 18 October 2024, in Cuajinicuilapa, Guerrero, rival gangs clashed in Colonia Los Lirios and Punta Maldonado. Casualties unknown.",0,MX12023,Cuajinicuilapa,2024-12-15,2025-12-15
MEX94187,2024-10-17,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Sinaloa,Navolato,Las Puentes,24.5318,-107.541,Riodoce,"On 17 October 2024, in Las Puentes, Sinaloa, armed groups clashed. Police officers arrived to the place and found 'several' injured and dead people, an unspecified number of people tied up and three vehicles with bullet impacts. This event is likely part of the war between 'Los Chapitos' and 'Los Mayitos' factions of the Sinaloa Cartel. Unspecified number of fatalities coded as 3.",3,MX25018,Navolato,2024-12-15,2025-12-15
MEX94197,2024-10-17,2024,Political violence,Violence against civilians,Attack,484,North America,Mexico,Veracruz de Ignacio de la Llave,Playa Vicente,La Union Juan Enriquez,17.8681,-95.7439,La Jornada; La Silla Rota,"On 17 October 2024, in La Union Juan Enriquez, Veracruz de Ignacio de la Llave, armed individuals on motorbikes entered ranch 'San Sebastian', on the path heading to La Petronila, and shot and killed its owner. The victim was a municipal police officer and veterinarian. 1 fatality.",1,MX30130,Playa Vicente,2024-12-15,2025-12-15
MEX94198,2024-10-16,2024,Political violence,Violence against civilians,Attack,484,North America,Mexico,Michoacán,Jacona,Jacona de Plancarte,19.9563,-102.306,La Voz de Michoacan,"On 16 October 2024, in Jacona de Plancarte, Michoacan de Ocampo, at least four armed men shot at a woman outside her home in Colonia Buenos Aires and then fled the scene. 1 injury.",0,MX16043,Jacona,2024-12-15,2025-12-15
MEX94208,2024-10-16,2024,Political violence,Violence against civilians,Attack,484,North America,Mexico,Chihuahua,Chihuahua,Chihuahua,28.6368,-106.0763,Tiempo,"On 16 October 2024, in Chihuahua, Chihuahua, a man opened fire at the facade of a home and then fled the scene. There were no injuries.",0,MX08019,Chihuahua,2024-12-15,2025-12-15
