event_id_cnty,event_date,year,disorder_type,event_type,sub_event_type,iso,region,country,admin1,admin2,location,latitude,longitude,source,notes,fatalities,adm2_code,adm2_name,data_as_of,run_date
MEX90772,2024-07-29,2024,Political violence,Violence against civilians,Abduction/forced disappearance,484,North America,Mexico,Jalisco,Zapopan,Zapopan,20.7206,-103.3883,La Jornada,"On 29 July 2024, in Zapopan, Jalisco, between 10 to 12 armed individuals kidnapped five workers of money exchange houses. They were found on 30 April by the authorities alive with their hands tied up and blindfolded in Tlajomulco. They were rescued.",0,MX14120,Zapopan,2024-10-26,2025-10-25
MEX90776,2024-07-31,2024,Political violence,Violence against civilians,Abduction/forced disappearance,484,North America,Mexico,Tamaulipas,Reynosa,Reynosa,26.0924,-98.2781,E-Consulta,"On 31 July 2024, in Reynosa, Tamaulipas, unknown armed individuals kidnapped the father of the current substitute for the elected senator for Morena and then asked for ransom from the family. On 1 August, the man was released after an activist requested support from the Gulf Cartel and the CJNG for the release of the man.",0,MX28032,Reynosa,2024-10-26,2025-10-25
MEX90779,2024-07-28,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Sonora,Caborca,Caborca,30.7166,-112.1562,Entorno Informativo,"On 28 July 2024, in Caborca, Sonora, according to witnesses, two armed individuals shot at the military forces in fraccionamiento Fovissste and an armed clash started. One armed man was killed and another one was injured and arrested. 1 fatality.",1,MX26017,Caborca,2024-10-26,2025-10-25
MEX90781,2024-07-30,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Baja California,Tijuana,Tijuana,32.5325,-117.019,AFN - Tijuana,"On 30 July 2024, in Tijuana, Baja California, three armed individuals opened fire at municipal police officers who repelled the aggression after a homicide was committed close to the penitentiary center La Mesa. The individuals crashed and one man died and the other two were arrested. 1 fatality.",1,MX02004,Tijuana,2024-10-26,2025-10-25
MEX90783,2024-07-31,2024,Political violence,Battles,Armed clash,484,North America,Mexico,México,Sultepec,Sultepec de Pedro Ascencio de Alquisiras,18.8572,-99.9651,8 Columnas,"On 31 July 2024, close to Sultepec de Pedro Ascencio de Alquisiras, Mexico, one armed individual opened fire at state police and military officers while they were on patrol on Almoloya de Alquisiras-Plan de Vigas highway. The officers arrested the man. There were no injuries.",0,MX15080,Sultepec,2024-10-26,2025-10-25
MEX90788,2024-07-29,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Michoacán,Morelia,Morelia,19.7034,-101.192,MiMorelia,"On 29 July 2024, in Morelia, Michoacan, armed individuals travelling in a vehicle and a motorcycle shot and killed a state police officer in the south part of the city in Glorieta Juan Pablo II. 1 fatality.",1,MX16053,Morelia,2024-10-26,2025-10-25
MEX90789,2024-07-30,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Michoacán,Zamora,Zamora de Hidalgo,19.9836,-102.286,La Voz de Michoacan,"On 30 July 2024, in Zamora de Hidalgo, Michoacan, armed individuals clashed in colonia El Porvenir. There were no casualties.",0,MX16108,Zamora,2024-10-26,2025-10-25
MEX90790,2024-07-29,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Guerrero,Teloloapan,La Magdalena,18.4328,-99.8608,El Sol de Acapulco,"Around 29 July 2024 (week of), in La Magdalena, Guerrero, according to residents, armed men clashed and attacked the community using drones charged with explosives. This event is related to a series of increase of violence in the community. Casualties unknown.",0,MX12058,Teloloapan,2024-10-26,2025-10-25
MEX90791,2024-07-28,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Tabasco,Teapa,Teapa,17.563,-92.9472,Tabasco Hoy,"On 28 July 2024, in Teapa, Tabasco, a young drug dealer was shot and killed by unidentified armed individuals in fraccionamiento Bosque de la Sierra. 1 fatality.",1,MX27016,Teapa,2024-10-26,2025-10-25
MEX90793,2024-07-28,2024,Political violence,Battles,Armed clash,484,North America,Mexico,Nuevo León,General Zuazua,General Zuazua,25.897,-100.1082,Milenio,"On 28 July 2024, in General Zuazua, Nuevo Leon, members of an unidentified gang clashed with municipal police officers in colonia Real de Palmas. There were no casualties.",0,MX19025,General Zuazua,2024-10-26,2025-10-25
