adm1_name,adm2_name,adm2_code,lon,lat
Yucatán,Abalá,MX31001,-89.65038656642373,20.65521034912681
Coahuila de Zaragoza,Abasolo,MX05001,-101.24581326302109,27.12243961026109
Guanajuato,Abasolo,MX11001,-101.53602420185342,20.53336738077998
Nuevo León,Abasolo,MX19001,-100.40594098743699,25.940550572115974
Tamaulipas,Abasolo,MX28001,-98.26817537109592,24.13427743281409
Oaxaca,Abejones,MX20001,-96.63384177963113,17.490163627223225
Chiapas,Acacoyagua,MX07001,-92.68168153381058,15.41415440372249
Puebla,Acajete,MX21001,-97.93982506380573,19.10331714566312
Veracruz de Ignacio de la Llave,Acajete,MX30001,-97.04423149740332,19.56472130743491
Chiapas,Acala,MX07002,-92.84090665393563,16.537788626872942
Guanajuato,Acámbaro,MX11002,-100.751953112024,20.052511423566255
México,Acambay de Ruíz Castañeda,MX15001,-99.87154179890571,19.972966715351774
Yucatán,Acanceh,MX31002,-89.44744862522367,20.824507919273167
Chiapas,Acapetahua,MX07003,-92.77232676918851,15.233773280331661
Nayarit,Acaponeta,MX18001,-105.25856041115674,22.464841951454005
Guerrero,Acapulco de Juárez,MX12001,-99.71452802726563,16.957667792040557
Puebla,Acateno,MX21002,-97.22980161387613,20.10916806773728
Guerrero,Acatepec,MX12076,-98.97602787419692,17.174865512802583
Jalisco,Acatic,MX14001,-102.90915576452939,20.77007275315945
Hidalgo,Acatlán,MX13001,-98.44034715268748,20.206466877032263
Puebla,Acatlán,MX21003,-98.1063528378501,18.159092203199627
Veracruz de Ignacio de la Llave,Acatlán,MX30002,-96.84017617681157,19.69170701215403
Jalisco,Acatlán de Juárez,MX14002,-103.6088519660318,20.428508896032692
Oaxaca,Acatlán de Pérez Figueroa,MX20002,-96.53956969732717,18.452193945396775
Puebla,Acatzingo,MX21004,-97.76498202188517,19.02612368958948
Hidalgo,Acaxochitlán,MX13002,-98.19840436070473,20.159868598032144
Veracruz de Ignacio de la Llave,Acayucan,MX30003,-95.03261430573934,18.036701733780674
México,Acolman,MX15002,-98.91986552224539,19.63378026027426
Sonora,Aconchi,MX26001,-110.22236183788847,29.796237593658226
Puebla,Acteopan,MX21005,-98.67909016268985,18.75939851558943
Hidalgo,Actopan,MX13003,-98.88968232339252,20.31457673541948
Veracruz de Ignacio de la Llave,Actopan,MX30004,-96.52891876503848,19.54614830826739
Tlaxcala,Acuamanala de Miguel Hidalgo,MX29022,-98.17051561149434,19.216873707260604
Michoacán de Ocampo,Acuitzio,MX16001,-101.3399983538908,19.46584190929256
Veracruz de Ignacio de la Llave,Acula,MX30005,-95.80037634675824,18.551783542653816
México,Aculco,MX15003,-99.83335748005966,20.115706657472288
Veracruz de Ignacio de la Llave,Acultzingo,MX30006,-97.27642244297736,18.716159432134912
Coahuila de Zaragoza,Acuña,MX05002,-102.01011495301644,29.43304605896332
Hidalgo,Agua Blanca de Iturbide,MX13004,-98.36937281465076,20.361573681666187
Veracruz de Ignacio de la Llave,Agua Dulce,MX30204,-94.16172072621613,18.084091139373346
Sonora,Agua Prieta,MX26002,-109.19751882908837,31.10477555443926
Nuevo León,Agualeguas,MX19002,-99.70304885164569,26.298760706150702
Aguascalientes,Aguascalientes,MX01001,-102.29577128596289,21.811535600554325
Michoacán de Ocampo,Aguililla,MX16002,-102.76106704633978,18.777892222652223
Sinaloa,Ahome,MX25001,-109.12895099676776,25.917357004223643
Nayarit,Ahuacatlán,MX18002,-104.57633755251113,21.041141186923344
Puebla,Ahuacatlán,MX21006,-97.86768236878845,20.02696154739277
Guerrero,Ahuacuotzingo,MX12002,-98.95138181479409,17.752319154232833
San Luis Potosí,Ahualulco,MX24001,-101.25329939321364,22.45063793998349
Jalisco,Ahualulco de Mercado,MX14003,-103.93534781936923,20.711490329659497
Puebla,Ahuatlán,MX21007,-98.28280990719227,18.575668178410947
Puebla,Ahuazotepec,MX21008,-98.13362198482774,20.061168726075877
Puebla,Ahuehuetitla,MX21009,-98.19111654273561,18.231301430758634
Chihuahua,Ahumada,MX08001,-106.38108460929772,30.45132351705499
Hidalgo,Ajacuba,MX13005,-99.07802403207512,20.119846325388703
Puebla,Ajalpan,MX21010,-97.1256018381442,18.42157793733471
Guerrero,Ajuchitlán del Progreso,MX12003,-100.60768465393885,17.91928574653365
Yucatán,Akil,MX31003,-89.34837730573636,20.262071148640672
Veracruz de Ignacio de la Llave,Álamo Temapache,MX30160,-97.71072776911237,20.971414267541185
Sonora,Alamos,MX26003,-108.87693590051218,27.052326414321673
San Luis Potosí,Alaquines,MX24002,-99.61952553050087,22.099967545514318
Puebla,Albino Zertuche,MX21011,-98.54710473230244,18.01069714350229
Guerrero,Alcozauca de Guerrero,MX12004,-98.36612610471698,17.37596777301487
Chiapas,Aldama,MX07113,-92.69017698560539,16.921834842484444
Chihuahua,Aldama,MX08002,-105.58876668049928,29.074173836921634
Tamaulipas,Aldama,MX28002,-98.0409571333827,23.009962861655886
