snapshot_date,data_as_of,events_30d,events_90d,events_prev30
2025-09-16,2025-09-16,596,1936,643
2025-09-17,2025-09-17,594,1931,644
2025-09-18,2025-09-18,599,1939,645
2025-09-19,2025-09-19,606,1939,631
2025-09-20,2025-09-20,610,1942,637
2025-09-21,2025-09-21,602,1930,631
2025-09-22,2025-09-22,601,1933,630
2025-09-23,2025-09-23,613,1936,621
2025-09-24,2025-09-24,601,1919,623
2025-09-25,2025-09-25,599,1919,630
2025-09-26,2025-09-26,601,1903,624
2025-09-27,2025-09-27,599,1895,615
2025-09-28,2025-09-28,595,1890,626
2025-09-29,2025-09-29,592,1885,609
2025-09-30,2025-09-30,593,1876,600
2025-10-01,2025-10-01,603,1875,595
2025-10-02,2025-10-02,613,1877,598
2025-10-03,2025-10-03,620,1881,590
2025-10-04,2025-10-04,626,1889,589
2025-10-05,2025-10-05,628,1883,580
2025-10-06,2025-10-06,640,1883,575
2025-10-07,2025-10-07,644,1880,566
2025-10-08,2025-10-08,652,1883,565
2025-10-09,2025-10-09,654,1879,557
2025-10-10,2025-10-10,646,1867,557
2025-10-11,2025-10-11,649,1866,561
2025-10-12,2025-10-12,645,1872,567
2025-10-13,2025-10-13,645,1879,569
2025-10-14,2025-10-14,641,1879,573
2025-10-15,2025-10-15,631,1884,584
2025-10-16,2025-10-16,626,1865,596
2025-10-17,2025-10-17,621,1859,594
2025-10-18,2025-10-18,606,1850,599
2025-10-19,2025-10-19,599,1836,606
2025-10-20,2025-10-20,585,1832,610
2025-10-21,2025-10-21,598,1831,602
2025-10-22,2025-10-22,598,1829,601
2025-10-23,2025-10-23,592,1826,613
2025-10-24,2025-10-24,597,1821,601
2025-10-25,2025-10-25,592,1821,599
2025-10-26,2025-10-26,587,1812,601
2025-10-27,2025-10-27,584,1798,599
2025-10-28,2025-10-28,584,1805,595
2025-10-29,2025-10-29,583,1784,592
2025-10-30,2025-10-30,582,1775,593
2025-10-31,2025-10-31,580,1778,603
2025-11-01,2025-11-01,572,1783,613
2025-11-02,2025-11-02,569,1779,620
2025-11-03,2025-11-03,562,1777,626
2025-11-04,2025-11-04,563,1771,628
2025-11-05,2025-11-05,552,1767,640
2025-11-06,2025-11-06,557,1767,644
2025-11-07,2025-11-07,545,1762,652
2025-11-08,2025-11-08,522,1733,654
2025-11-09,2025-11-09,508,1711,646
2025-11-10,2025-11-10,485,1695,649
2025-11-11,2025-11-11,462,1674,645
2025-11-12,2025-11-12,444,1681,666
2025-11-14,2025-11-14,411,1646,658
2025-11-15,2025-11-15,393,1631,650
2025-11-16,2025-11-16,377,1619,643
2025-11-17,2025-11-17,364,1596,635
2025-11-20,2025-11-20,435,1662,614
2025-11-21,2025-11-21,415,1641,621
2025-11-22,2025-11-22,397,1620,619
2025-11-23,2025-11-23,379,1608,613
2025-11-24,2025-11-24,361,1583,618
2025-11-25,2025-11-25,473,1685,610
2025-11-26,2025-11-26,455,1668,609
2025-11-27,2025-11-27,433,1646,611
2025-11-28,2025-11-28,421,1620,601
2025-11-29,2025-11-29,404,1604,605
2025-11-30,2025-11-30,382,1588,610
2025-12-01,2025-12-01,359,1574,609
2025-12-02,2025-12-02,486,1707,603
2025-12-03,2025-12-03,469,1692,598
2025-12-05,2025-12-05,434,1659,592
2025-12-06,2025-12-06,405,1643,593
2025-12-07,2025-12-07,390,1626,586
2025-12-08,2025-12-08,372,1610,579
2025-12-09,2025-12-09,500,1729,566
2025-12-10,2025-12-10,484,1707,568
2025-12-11,2025-12-11,470,1685,559
2025-12-13,2024-12-13,632,2036,711
2025-12-14,2024-12-14,629,2034,699
2025-12-15,2024-12-15,615,2021,695
